id,name,,parent_id,icon,created_at,updated_at
223,Mba Courses,mba-courses,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
224,Media Law,media-law,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
225,Mergers And Acquisitions,mergers-and-acquisitions,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
226,Negotiations,negotiations,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
227,Networking Events,networking-events,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
228,Operations,operations,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
229,Operations Management,operations-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
230,Organizational Behavior,organizational-behavior,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
231,Problem Solving,problem-solving,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
232,Procurement,procurement,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
233,Product Management,product-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
234,Professional Development,professional-development,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
235,Professional Skills,professional-skills,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
236,Professional Writing,professional-writing,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
237,Project Management,project-management,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
238,Project Management Office,project-management-office,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
239,Public Speaking,public-speaking,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
240,Remote Work,remote-work,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
241,Retail,retail,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
242,Rhetoric,rhetoric,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
243,Social Media Marketing,social-media-marketing,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
244,Social Entrepreneurship,social-entrepreneurship,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
245,Soft Skills,soft-skills,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
246,Software As A Service,software-as-a-service,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
247,Sports Business,sports-business,166,,2026-05-15 08:15:35,2026-05-15 08:15:35
